Virus,No Photostim,Photostim
ChR2,36.8909512761021,28.5714285714286
ChR2,18.9376443418014,0
ChR2,4.11899313501144,8.33333333333333
eYFP,12.7659574468085,27.2727272727273
eYFP,64.7196261682243,57.1428571428571
ChR2,53.1772575250836,85.4166666666667
ChR2,81.592039800995,88.135593220339
ChR2,84.1584158415842,77.1929824561403
eYFP,97.7215189873418,100
ChR2,14.320987654321,21.4285714285714
eYFP,57.6530612244898,65.625
eYFP,34.1968911917098,38.8888888888889
eYFP,34.9367088607595,40.6779661016949
ChR2,86.6141732283465,85.2941176470588
ChR2,16.4556962025316,13.8461538461538
ChR2,84.2377260981912,92.0634920634921
ChR2,96.0591133004926,100
ChR2,51.6539440203562,59.6774193548387
ChR2,20,18.1818181818182
eYFP,59.1623036649215,65.0793650793651
ChR2,32.8282828282828,52.4590163934426
eYFP,18.407960199005,11.864406779661
ChR2,81.3299232736573,77.4193548387097
ChR2,72.3618090452261,76.1904761904762
ChR2,96.3917525773196,95.5882352941177
eYFP,65.2061855670103,60.8108108108108
eYFP,76.2402088772846,69.8412698412698
eYFP,29.7229219143577,32.1428571428571
