Virus,RewardedWindow,UnrewardedWindow
ChR2,30.4740406320542,25.8823529411765
ChR2,84.8130841121495,79.5180722891566
ChR2,39.5833333333333,41.1764705882353
eYFP,47.5972540045767,45.8823529411765
eYFP,67.5287356321839,72.0588235294118
ChR2,58.1609195402299,57.1428571428571
ChR2,95.4545454545455,93
ChR2,98.9510489510489,97.7272727272727
eYFP,99.0476190476191,100
ChR2,56.5445026178011,59.8484848484849
eYFP,45.2797202797203,45.0381679389313
eYFP,64.4859813084112,68.4782608695652
eYFP,38.7706855791962,32.6315789473684
ChR2,92.9577464788732,89.8989898989899
ChR2,44.4444444444444,38
ChR2,62.70783847981,64.8936170212766
ChR2,96.1904761904762,95.049504950495
ChR2,80.5620608899297,80.6122448979592
ChR2,33.160621761658,29.7520661157025
eYFP,46.2994836488812,50
ChR2,29.8206278026906,42.3529411764706
eYFP,66.0550458715596,69.3877551020408
ChR2,86.9047619047619,87.6288659793814
ChR2,69.811320754717,77.319587628866
ChR2,55.2727272727273,54.2635658914729
eYFP,83.3729216152019,79.3814432989691
eYFP,75.1184834123223,76.4705882352941
eYFP,67.4311926605505,68.75
