AnimalID,Virus,Dur,AUC
5862,ACh4.3+Chrimson,0,0.144001842746428
5862,ACh4.3+Chrimson,1,0.275443832602047
5862,ACh4.3+Chrimson,2,0.322328551757591
5862,ACh4.3+Chrimson,10,0.556708899604292
5863,ACh4.3+Chrimson,0,0.0627410398214477
5863,ACh4.3+Chrimson,1,0.170180758178253
5863,ACh4.3+Chrimson,2,0.1923904748663
5863,ACh4.3+Chrimson,10,0.299207749481313
5864,ACh4.3+Chrimson,0,0.136160156200491
5864,ACh4.3+Chrimson,1,0.0533733889258703
5864,ACh4.3+Chrimson,2,0.101466585146114
5864,ACh4.3+Chrimson,10,0.171851152048774
5865,ACh4.3+tdTomato,0,0.0134575044748388
5865,ACh4.3+tdTomato,1,0.00046999767103731
5865,ACh4.3+tdTomato,2,2.17801819855015e-06
5865,ACh4.3+tdTomato,10,-8.51902601844757e-05
5866,ACh4.3+tdTomato,0,0.119536923210609
5866,ACh4.3+tdTomato,1,0.0150442855617066
5866,ACh4.3+tdTomato,2,0.0246606669198429
5866,ACh4.3+tdTomato,10,0.00889401448294204
1964,ACh4.3+Chrimson,0,0.200783801522393
1964,ACh4.3+Chrimson,1,0.083436895908725
1964,ACh4.3+Chrimson,2,0.125686877893296
1964,ACh4.3+Chrimson,10,0.233436225987821
5873,ACh4.3+tdTomato,0,0.183188302101364
5873,ACh4.3+tdTomato,1,0.0146807286431812
5873,ACh4.3+tdTomato,2,0.0393926570857222
5873,ACh4.3+tdTomato,10,0.0167411173687637
5876,ACh4.3+tdTomato,0,0.186773916861366
5876,ACh4.3+tdTomato,1,0.0295601733825077
5876,ACh4.3+tdTomato,2,-0.00681967439808694
5876,ACh4.3+tdTomato,10,0.0190410415741842
4223,ACh4.3+Chrimson,0,0.0112799129649828
4223,ACh4.3+Chrimson,1,0.100587702864391
4223,ACh4.3+Chrimson,2,0.156154792325053
4223,ACh4.3+Chrimson,10,0.283447949040233
